model_output,target,scores,scores_inserts
izwe linezindlela nezintaba,Izwe linezindlela nezintaba.,"['11111111111111111111111111', '11111111111111111111111111']","['[]', '[]']"
izwe linezindlela nezintaba,Izwe linezindlela nezintaba.,"['11111111111111111111111111', '11111111111111111111111111']","['[]', '[]']"
izwe linezindlela nezintaba,Izwe linezindlela nezintaba.,"['11111111111111111111111111', '11111111111111111111111111', '11111111111111111111111111']","['[]', '[]', '[]']"
izwe linezindlela nezintaba,Izwe linezindlela nezintaba.,['11111111111111111111111111'],['[]']
izwe lizibindile lizinthamba,Izwe linezindlela nezintaba.,"['11111110011100101111110111', '11111111110000001111111111', '11111110000000011101110101']","['[]', '[""9"", ""10"", ""11"", ""12"", ""13"", ""14"", ""15""]', '[]']"
izwe linezindlela nezentaba,Izwe linezindlela nezintaba.,"['11111111111111111111111111', '11111111111111111111111111']","['[]', '[]']"
iziwe lizindlela nezithaba,Izwe linezindlela nezintaba.,['11111110011111111111100111'],"['[""2""]']"
izwe zinglela ngezithaba,Izwe linezindlela nezintaba.,['11111000011111111001110111'],['[]']
yebo bayakhukhulekhele khakhulu,"Yebo, bayakukhulekela kakhulu.","['11111111101111101111011111', '11111111101111101111011111']","['[]', '[]']"
yebo bayakukulekela khakhulu,"Yebo, bayakukhulekela kakhulu.","['11111111101111111111011111', '11111111101111111111111111', '11011011101111101111011111']","['[]', '[]', '[]']"
yebo bayakuhulekela kakhulu,"Yebo, bayakukhulekela kakhulu.","['11111111101111111111011111', '11111011101111101111011111']","['[]', '[]']"
yebo bayakukhululeka kakhulu,"Yebo, bayakukhulekela kakhulu.","['11111111101111111111111111', '11111111111111011111111111']","['[]', '[]']"
yebo bayakughulekile kakhulu,"Yebo, bayakukhulekela kakhulu.","['11111111111111111111111111', '11111111111111111111111111']","['[]', '[]']"
yebo bayakhululeka kakhulu,"Yebo, bayakukhulekela kakhulu.",['11111111111111111111111111'],['[]']
yebo bayakukhulekela kakhulu,"Yebo, bayakukhulekela kakhulu.",['11111111111111111111111111'],['[]']
yebo bayakkhushlukele khalulo,"Yebo, bayakukhulekela kakhulu.",['11111111101010011101011111'],['[]']
yebo bayakukhulekela kakhulo,"Yebo, bayakukhulekela kakhulu.",['11111111101111101111011111'],['[]']
yebo bayakhukhulekhela kakhulu,"Yebo, bayakukhulekela kakhulu.",['11111111111111111111111111'],['[]']
yebo baya kkhulekhelakhakhul,"Yebo, bayakukhulekela kakhulu.",['11111011101111101111011111'],['[]']
asinamali banemali lapaya,"Asinamali, banemali laphaya.","['1111111111111111111111111', '1111111111011111111111111']","['[]', '[]']"
asinamali banemali laphaya,"Asinamali, banemali laphaya.","['1111111111111111111111111', '1111111111111111111111111']","['[]', '[]']"
asinamali bhanemali laphaya,"Asinamali, banemali laphaya.","['1111111111011111111111111', '1111111111011111111111111']","['[]', '[]']"
asinamali banemali laphaya,"Asinamali, banemali laphaya.","['1111111111111111111111111', '1111111111111111111111111', '1111111111111111111111111']","['[]', '[]', '[]']"
asenamali banemali laphaya,"Asinamali, banemali laphaya.",['1111111111111111111111111'],['[]']
asinamali banemali lapha,"Asinamali, banemali laphaya.","['1111111111111111111111111', '1111111111111111111111111']","['[]', '[]']"
asinamali banemali laphaya,"Asinamali, banemali laphaya.","['1111111111111111111111111', '1111111111111111111111111']","['[]', '[]']"
azinamile bhanemali laphaya,"Asinamali, banemali laphaya.","['1011110101011111111111111', '1011110101011111111111111']","['[]', '[]']"
asinamali mbanemali lapaya,"Asinamali, banemali laphaya.",['1111111111111111111111111'],['[]']
s] asinamali banemali laphaya,"Asinamali, banemali laphaya.",['1111111111111111111111111'],['[]']
asinamali bayemali laphaya,"Asinamali, banemali laphaya.",['1111111111110111111111111'],['[]']
yekhamanje kuningi nomzana,"Yeka manje, kuningi, mnumzana!",['11011111111011111111111111'],['[]']
yekha manje kuningi unumzana,"Yeka manje, kuningi, mnumzana!","['11011111111111111111111111', '11011111111011111111111111']","['[]', '[]']"
yeka manje kuningiuzana,"Yeka manje, kuningi, mnumzana!",['11011111111011111100101111'],['[]']
yekamanje guningi mnumzane,"Yeka manje, kuningi, mnumzana!","['11111111111111111111111111', '11111111111111101111111111']","['[]', '[]']"
yekamanje uningi mnumuzane,"Yeka manje, kuningi, mnumzana!",['11111111111111111111111111'],['[]']
yekamanje kuningi mnumzan,"Yeka manje, kuningi, mnumzana!","['11111111111111111111111111', '11111111111111111111111111']","['[]', '[]']"
yekamanje kuningi mnumzana,"Yeka manje, kuningi, mnumzana!",['11111111111111111111111111'],['[]']
yekamanje kunungi umzana,"Yeka manje, kuningi, mnumzana!","['10011111111011111110111111', '11111111111110011100111111', '11111111111111011110001111']","['[]', '[]', '[]']"
yekamanje kuningi umnumzana,"Yeka manje, kuningi, mnumzana!",['11111111111111111111111111'],"['[""18""]']"
yekhamanje kuningi mnumzana,"Yeka manje, kuningi, mnumzana!",['11011111111011111111111111'],"['[""18""]']"
lekhamanje kuminii kunomzana,"Yeka manje, kuningi, mnumzana!",['01111111111010001111111111'],"['[""18""]']"
yaliletha khona manje,Siyaliletha khona manje.,"['111111111111111111111', '111111111111111111111']","['[]', '[]']"
siyaliletha khona manje,Siyaliletha khona manje.,"['111111111111111111111', '111111111111111111111']","['[]', '[]']"
yaletha khona manje,Siyaliletha khona manje.,"['111111111111111111111', '111100111110111111111']","['[]', '[]']"
siyaliletha khona manje,Siyaliletha khona manje.,"['111111111111111111111', '111111111111111111111']","['[]', '[]']"
yaliletha khona manje,Siyaliletha khona manje.,"['111111111111111111111', '111111111111111111111']","['[]', '[]']"
siyaliletha khonamandla,Siyaliletha khona manje.,['111111111111111111111'],['[]']
siyaliletha khona manje,Siyaliletha khona manje.,['111111111111111111111'],['[]']
siyaliletha khona manje,Siyaliletha khona manje.,"['111111111111111111111', '111111111111111111111']","['[]', '[]']"
siyaliletha khona manje,Siyaliletha khona manje.,['111111111111111111111'],['[]']
siya liletha khonamanje,Siyaliletha khona manje.,['111111111111111111111'],"['[""6""]']"
siya lethu yakhonamanje,Siyaliletha khona manje.,['111110001011111111111'],['[]']
abantu bayangahleka manje,Abantu bayangihleka manje.,"['11111111111111101111111', '11111111111111111111111', '10110110111110111111111']","['[]', '[]', '[]']"
abantu bayangihleka manje,Abantu bayangihleka manje.,"['11110111111111101111111', '11111110111111101111111']","['[]', '[]']"
abantu buyohleka manje,Abantu bayangihleka manje.,['10111110111001111111111'],['[]']
abantu bayangihleka manje,Abantu bayangihleka manje.,['11111111111111111111111'],['[]']
abantu bayangihleka manje,Abantu bayangihleka manje.,"['11111111111111111111111', '11111111111111111111111']","['[]', '[]']"
abantu bayangihleka manje,Abantu bayangihleka manje.,"['11111111111111111111111', '11111111111111111111111']","['[""0"", ""9"", ""10""]', '[]']"
abantu bayangahleka manji,Abantu bayangihleka manje.,['11111111111111111111111'],['[]']
abantu bayangihle kamanje,Abantu bayangihleka manje.,['11110111111111111111111'],['[]']
abantu bayangihleka manje,Abantu bayangihleka manje.,['10111110111111111111111'],['[]']
abantu buyoyinhleka manje,Abantu bayangihleka manje.,['11111111111111111111111'],['[]']
abantu baya kilemanja,Abantu bayangihleka manje.,['11111111111110000111111'],['[]']
ukudla okumnandi kukona,Ukudla okumnandi kukhona.,"['1011111011111111011111', '1011111011111111011111']","['[]', '[]']"
ukudla okomnandi kukhona,Ukudla okumnandi kukhona.,"['1011111011111111011111', '1011111011111111011111']","['[]', '[]']"
ukudla kumnandi kukhona,Ukudla okumnandi kukhona.,['1111111111111111111111'],['[]']
ukudla kumandi kukhona,Ukudla okumnandi kukhona.,"['1111111111111111111111', '1111111111111111111111', '1111111111111111111111']","['[]', '[]', '[]']"
ukudla okomnandi kukhona,Ukudla okumnandi kukhona.,['1111111111111111111111'],['[]']
ukudla okumnandi kukona,Ukudla okumnandi kukhona.,"['1111111111111111111111', '1111111111111111111111', '1111111111111111111111']","['[]', '[]', '[]']"
ukudla okomnande kukhona,Ukudla okumnandi kukhona.,['1111111111111111111111'],['[]']
ukudlwa ukumadi kukhona,Ukudla okumnandi kukhona.,"['1110010010011011011111', '1110011111011111001111', '1011111011011111011111']","['[]', '[]', '[""4""]']"
ukhudla okhomnandi kukhona,Ukudla okumnandi kukhona.,['1011111011111111011111'],['[]']
ukhudla okuumnandi kukona,Ukudla okumnandi kukhona.,['1011111011111111111111'],['[]']
ukudla okunamande kukhona,Ukudla okumnandi kukhona.,['1011110110011111011111'],['[]']
ambani,Bambani.,"['1111111', '1111111']","['[]', '[]']"
bhambani,Bambani.,['0111111'],['[]']
bambani,Bambani.,"['1111111', '1111111', '1111111']","['[]', '[]', '[]']"
bambani,Bambani.,"['1111111', '1111111', '1111111']","['[]', '[]', '[]']"
abambani,Bambani.,['1111111'],"['[""0""]']"
bambani,Bambani.,"['1111111', '1111111', '1111111']","['[]', '[]', '[]']"
bambani,Bambani.,['1111111'],['[]']
bambane,Bambani.,['0111111'],['[]']
mbambane,Bambani.,['1111111'],['[]']
bambani,Bambani.,['1111111'],['[]']
bhambani,Bambani.,"['1111111', '0111111']","['[]', '[]']"
umuntu mubi,Umuntu mubi.,"['11110111111', '11111111111']","['[]', '[]']"
umuntu mubi,Umuntu mubi.,"['11110111111', '11110111111']","['[]', '[]']"
umuntu mubi,Umuntu mubi.,['11111111111'],['[]']
umuntu mubi,Umuntu mubi.,"['11111111111', '11111111111']","['[]', '[]']"
umuntu mubi,Umuntu mubi.,"['11111111111', '11111111101']","['[]', '[]']"
umuntumobi,Umuntu mubi.,"['11111111111', '11111111111', '11111111111']","['[]', '[]', '[]']"
umuntu mobi,Umuntu mubi.,['11111111111'],['[]']
umuntu mobie,Umuntu mubi.,"['11110111111', '11110111101']","['[]', '[]']"
umuntu mubi,Umuntu mubi.,['11111111111'],['[]']
umuntumubi,Umuntu mubi.,['11111111111'],['[]']
umutho umb,Umuntu mubi.,['11111111111'],['[]']
ufundela ukuba yini,Ufundela ukuba yini?,"['1111111111011111111', '1111111111011111111']","['[]', '[]']"
ufundela ukuba yini,Ufundela ukuba yini?,['1111111111011111111'],['[]']
ufondela ukuba yini,Ufundela ukuba yini?,"['1111111111011111111', '1111111111011111111']","['[]', '[]']"
fundela ukuba yini,Ufundela ukuba yini?,['1111111111111111111'],['[]']
ufundela kubayini,Ufundela ukuba yini?,"['1111111110111111111', '1111111111111111111']","['[]', '[]']"
ufunela akuba yini,Ufundela ukuba yini?,"['1111111111111111111', '1111111111111111111']","['[]', '[]']"
ufundela ukuba yini,Ufundela ukuba yini?,['1111111111111111111'],['[]']
neyo co leleka[s],Ufundela ukuba yini?,['1011111111111111011'],"['[""1""]']"
uvundile ukuba yini,Ufundela ukuba yini?,['1111101011010111111'],['[]']
ufundela ukuba yini,Ufundela ukuba yini?,['1111111111111111111'],['[]']
ufundela ukuba yini,Ufundela ukuba yini?,['1111111111010111111'],['[]']
ufundela kubha winy,Ufundela ukuba yini?,"['1111111111111111111', '1111111110011111111']","['[]', '[]']"
abantu basebenze ngamandla imphela,Abantu basebenza ngamandla impela.,['1111011111111111111111111110111'],['[]']
abantubasebenza ngamandla emphela,Abantu basebenza ngamandla impela.,['1111111111111111111111111110111'],['[]']
abantubaysebenze ngamanda emphela,Abantu basebenza ngamandla impela.,['1111111011101111111111111110111'],['[]']
abantu basebenza ngamandla empela,Abantu basebenza ngamandla impela.,"['1111111111111111111111111111111', '1111111111111111111111111111111']","['[]', '[]']"
abantu basebenza ngamandla empela,Abantu basebenza ngamandla impela.,"['1111111111111111111111111111111', '1111111111111111111111111111111']","['[]', '[]']"
abantubasebenze ngamandla empela,Abantu basebenza ngamandla impela.,"['1111111111111111111111111111111', '1111111111111111111111111111111', '1111111111111111111111111111111']","['[]', '[]', '[]']"
abantu basebenza ngamandla empela,Abantu basebenza ngamandla impela.,['1111111111111111111111111111111'],['[]']
abantubayesebenza ngamandla imphela,Abantu basebenza ngamandla impela.,"['1111011111111111111111111110111', '1011111011101111111111111110111']","['[]', '[]']"
abantu basebenze ngamandla empela,Abantu basebenza ngamandla impela.,['1011111011101111111111111111111'],['[]']
abantubasebenza kamandla imphela,Abantu basebenza ngamandla impela.,['1111111111111111111111111111111'],['[]']
abantubasebenze na] mandla ophelwa,Abantu basebenza ngamandla impela.,['1011111011101111101111111110111'],"['[""30""]']"
umutha muhle,Umutsha muhle.,['11100111111'],['[]']
umu sha muhle,Umutsha muhle.,"['11100111111', '11100111111']","['[]', '[]']"
umuta muhle,Umutsha muhle.,"['11111111111', '11111111111', '11100111111']","['[]', '[]', '[]']"
umuja muhle,Umutsha muhle.,"['11111111111', '11111111111']","['[]', '[]']"
umutsha muhle,Umutsha muhle.,"['11111111111', '11111111111']","['[]', '[]']"
umutsha muhle,Umutsha muhle.,['11111111111'],['[]']
umu tha muhle,Umutsha muhle.,"['11111111111', '11111111111']","['[]', '[]']"
umutshwamushle,Umutsha muhle.,"['11100111101', '11100011111']","['[]', '[]']"
umusha muhle,Umutsha muhle.,"['11111111111', '11111111111']","['[]', '[]']"
umutsha muhle,Umutsha muhle.,['11111111111'],['[]']
umusha muhle,Umutsha muhle.,['11111111111'],['[]']
wayafunda,Bayafunda.,['111111111'],['[]']
bayafunda,Bayafunda.,['011111111'],['[]']
wayafunda,Bayafunda.,['011111111'],['[]']
bayafunda,Bayafunda.,"['111111111', '111111111']","['[]', '[]']"
bayafunda,Bayafunda.,"['111111111', '111111111']","['[]', '[]']"
bayafunda,Bayafunda.,"['111111111', '111111111']","['[]', '[]']"
bayafunda,Bayafunda.,['111111111'],['[]']
bayafunda,Bayafunda.,"['111111111', '111111111', '011111111']","['[]', '[]', '[]']"
bayafundailangalihlemanje libomvuimpela,Bayafunda.,['011111111'],"['[""9""]']"
bayafunda,Bayafunda.,['111111111'],['[]']
bayafunda,Bayafunda.,['111111111'],['[]']
ilangalihlemanje libomvuimphela,"Ilanga lihle manje, libomvu impela.",['1111111111111111111111111110111'],['[]']
ilanga lihlemanje libomvuimphela,"Ilanga lihle manje, libomvu impela.",['1111111111111111111011111110111'],['[]']
ilanga lihlemanje limbhomvu imphela,"Ilanga lihle manje, libomvu impela.","['1111111111111111111011111110111', '1111111111111111111011111110111']","['[]', '[""19""]']"
langalihlemanje libomvuimpela,"Ilanga lihle manje, libomvu impela.","['1111111111111111111111111111111', '1111111111111111111111111111111']","['[]', '[]']"
ilangalihle manje elibomvu impela,"Ilanga lihle manje, libomvu impela.","['1111111111111111111111111111111', '1111111111111111111111111111111']","['[]', '[]']"
ilangalihlemanje libomvu impela,"Ilanga lihle manje, libomvu impela.","['1111111111111111111111111111111', '1111111111111111111111111111111']","['[]', '[]']"
ilanga liyihlemanje libovu impela,"Ilanga lihle manje, libomvu impela.",['1111111111111111111111111111111'],['[]']
ilanga lishlamanje liyibhumvuimphila,"Ilanga lihle manje, libomvu impela.","['1111111100111111111101111110111', '1111111100111111111101111110111']","['[]', '[]']"
ngiyabona,"Ilanga lihle manje, libomvu impela.",['SKIPPED'],[None]
ilangalihle manje ibhomvuimphela,"Ilanga lihle manje, libomvu impela.",['1111111111111111101011111110111'],['[]']
ilanga lilemanjeimbovu emphelwa,"Ilanga lihle manje, libomvu impela.",['1111111101111111100111111111111'],['[]']
ngiyabona,Ngiyabona.,['11111111'],['[]']
ngiyabona,Ngiyabona.,"['11111111', '11111111']","['[]', '[]']"
ngiyabona,Ngiyabona.,"['11111111', '11111111', '11110111']","['[]', '[]', '[]']"
ngiyabona,Ngiyabona.,['11111111'],['[]']
ngiyabona,Ngiyabona.,"['11111111', '11111111']","['[]', '[]']"
ngiyabona,Ngiyabona.,"['11111111', '11111111']","['[]', '[]']"
ngiyabona,Ngiyabona.,['11111111'],['[]']
ngiyabona,Ngiyabona.,"['01110111', '11110111']","['[]', '[]']"
eduze kwendluizikhukhukhaziziningiinkosi,Ngiyabona.,['11111111'],['[]']
ngiyabona,Ngiyabona.,['11111111'],['[]']
ngiyabona,Ngiyabona.,['11110111'],['[]']
eduze kwendlu izikhukhukhazi ziningimkhosi,"Eduze kwendlu, izikhukhukazi ziningi, Nkosi.","['1111110111111111111101111111111110111', '1111111111111111111111111111111111111']","['[]', '[]']"
eduze kwendluizikhukhukhaziziningi ungosi,"Eduze kwendlu, izikhukhukazi ziningi, Nkosi.","['1111111111111111111111111111111111111', '1111111111111111111111111111111111111', '1111110111111111111101111111111110111']","['[]', '[]', '[]']"
iduse kwendlu isikhkhukhazi sininkingosi,"Eduze kwendlu, izikhukhukazi ziningi, Nkosi.","['0111111111111111111101111111111110111', '0111111111111101111101111111111111111', '0111110111111111111101111111111110111']","['[]', '[]', '[]']"
eduze kwendlu izikhukhukazi zininginkosi,"Eduze kwendlu, izikhukhukazi ziningi, Nkosi.","['1111111111111111111111111111111111111', '1111111111111111111111111111111111111']","['[]', '[]']"
eduze kwendlu izikhukhukazi ezininginkosi,"Eduze kwendlu, izikhukhukazi ziningi, Nkosi.","['1111111111111111111111111111111111111', '1111111111111111111111111111111111111']","['[]', '[]']"
eduzekwendlu izikhuhukazi zininginkosi,"Eduze kwendlu, izikhukhukazi ziningi, Nkosi.","['1111111111111111111111111111111111111', '1111111111111111111111111111111111111']","['[]', '[]']"
eduze kwendlu izikhukhukazi zininginkosi,"Eduze kwendlu, izikhukhukazi ziningi, Nkosi.","['1111111111111111111111111111111111111', '1111111111111111111111111111111111111']","['[]', '[]']"
ezukhwendlu izikhukukhazi ziningingose,"Eduze kwendlu, izikhukhukazi ziningi, Nkosi.",['1000010111111111111101111111111110111'],['[]']
ngiyathanda,"Eduze kwendlu, izikhukhukazi ziningi, Nkosi.",['1111111111111111111111111111111111111'],['[]']
eduzekhwendlu iziukhukhazi zininginkhosi,"Eduze kwendlu, izikhukhukazi ziningi, Nkosi.",['1111110111111111111111111111111110111'],['[]']
edlezikhendlu zinkhulu khukhazi zinginkhosi,"Eduze kwendlu, izikhukhukazi ziningi, Nkosi.",['1001110011111111111111111111111111111'],"['[""1"", ""7""]']"
ngiyathanda,Ngiyathanda.,"['111111111', '111111111', '111111111']","['[]', '[]', '[]']"
ngiyathanda,Ngiyathanda.,['111111111'],['[]']
kiyathanda,Ngiyathanda.,['111111111'],['[]']
ngiyathanda,Ngiyathanda.,"['111111111', '111111111']","['[]', '[]']"
engiyathanda,Ngiyathanda.,"['111111111', '111111111']","['[]', '[""0""]']"
ngiyathanda,Ngiyathanda.,"['111111111', '111111111']","['[]', '[]']"
ngiyathanda,Ngiyathanda.,['111111111'],['[]']
ngiyathanda,Ngiyathanda.,"['111111111', '111111111', '111111111']","['[""0""]', '[]', '[]']"
ningishlubha ngamabomu,Ngiyathanda.,['111111111'],['[]']
ngiyathanda,Ngiyathanda.,"['111111111', '111111111']","['[]', '[]']"
ngiyathanda,Ngiyathanda.,['111111111'],['[]']
ningishl pha ngamabongu,Ningihlupha ngamabomu.,"['11111111111111111', '11110111111111111']","['[]', '[""9""]']"
ningihlupha ngamabomo,Ningihlupha ngamabomu.,['11111111111111111'],['[]']
ingihlupha ngamabhumu,Ningihlupha ngamabomu.,['01111111111111111'],"['[""0"", ""1""]']"
ningisupha ngamabomu,Ningihlupha ngamabomu.,"['11111111111111111', '11111111111111111']","['[]', '[]']"
ningihlupha ngamabomi,Ningihlupha ngamabomu.,"['11111111111111111', '11111111111111111', '11111111111111111']","['[]', '[]', '[]']"
ningihluka ngamabomu,Ningihlupha ngamabomu.,"['11111111111111111', '11111111111111111']","['[]', '[]']"
ningihlupha ngamabomu,Ningihlupha ngamabomu.,['11111111111111111'],['[]']
ningishlupha ngiyambome,Ningihlupha ngamabomu.,['11110111110000010'],['[]']
basebenzape,Ningihlupha ngamabomu.,['11111111111111111'],['[]']
ningihlupha namabhomo,Ningihlupha ngamabomu.,['11111111111110111'],"['[""2""]']"
nginginamboboy,Ningihlupha ngamabomu.,['00000000100000000'],['[]']
basebenzapi,Basebenzaphi?,['11111111111'],['[]']
basebenze basebenzabi,Basebenzaphi?,"['11111111111', '11111111111']","['[]', '[]']"
basi ben zapi,Basebenzaphi?,"['01100111111', '01100111111']","['[]', '[]']"
basebenzaphi,Basebenzaphi?   ,['11111111111111'],['[]']
basebenzab,Basebenzaphi?,"['11111111111', '11111111111']","['[]', '[]']"
basebenzapi,Basebenzaphi?,['11111111111'],['[]']
basebenzaphi,Basebenzaphi?,['11111111111'],['[]']
basebenze zabee,Basebenzaphi?,"['11111111111', '11111111111', '01110111111']","['[]', '[]', '[]']"
imigodi mikhulu,Basebenzaphi?,['11111111111'],['[]']
base benzs zaphi,Basebenzaphi?,['01110111111'],['[]']
basibenssalapi,Basebenzaphi?,['01100111111'],"['[""9""]']"
imingodi mikhulu,Imigodi mikhulu.,"['11111111111111', '11111111111111']","['[]', '[]']"
imigodu mikhulu,Imigodi mikhulu.,['11111101111111'],['[]']
imigodi mkhulu,Imigodi mikhulu.,['11111111101111'],['[]']
imigodi mikhulu,Imigodi mikhulu.,"['11111111111111', '11111111111111']","['[]', '[]']"
imigodi mikhulu,Imigodi mikhulu.,"['11111111111111', '11111111111111', '11111111111111']","['[]', '[]', '[]']"
imigodi mikhulu,Imigodi mikhulu.,['11111111111111'],['[]']
imigodi mikhulu,Imigodi mikhulu.,['11111111111111'],['[]']
imigadi mikhulu,Imigodi mikhulu.,"['11111111111111', '11111111111111']","['[]', '[]']"
ngena manje umnumzana,Imigodi mikhulu.,['11111111111111'],['[]']
imigodi mikhulu,Imigodi mikhulu.,['11111111111111'],['[]']
imigod emkhulu,Imigodi mikhulu.,['11111111001111'],"['[""8""]']"
niyokuleka,Niyokhuleka.,"['1111111101', '1111111101']","['[]', '[]']"
niyokhuleka,Niyokhuleka.,"['1111111111', '1111111111', '1111111111']","['[]', '[]', '[]']"
ingiyokhulekha,Niyokhuleka.,"['0111111101', '0111111101', '0111111101']","['[]', '[""0""]', '[]']"
niyokhuleka,Niyokhuleka.,"['1111111111', '1111111111']","['[]', '[]']"
niyokhululeka,Niyokhuleka.,['1111111111'],['[]']
niyokhululeka,Niyokhuleka.,"['1111111111', '1111111111']","['[""7""]', '[""6""]']"
niyokhuleka,Niyokhuleka.,['1111111111'],['[]']
ingiyobhabhiza abafazi ngizalukhazi ngizinthombe,Niyokhuleka.,['1111001111'],['[]']
niyokhulika,Niyokhuleka.,['1111111101'],['[]']
niyokhuleka,Niyokhuleka.,['1111111111'],['[]']
niyokhulekha,Niyokhuleka.,['1111111101'],['[]']
ingi yokhu yeka,Niyokhuleka.,['0111111101'],['[]']
ngena manje nomzana,"Ngena manje, mnumzana.",['1111111111100011111'],['[]']
ngena manje umnumzana,"Ngena manje, mnumzana.","['1111111111111111111', '1111111111111111111']","['[]', '[""11""]']"
ingela manje umzomnana,"Ngena manje, mnumzana.","['1111111111100000000', '1111111111110110111']","['[]', '[""0"", ""11""]']"
ngena manje mnumzane,"Ngena manje, mnumzana.",['1111111111111111111'],['[]']
ngena manje mnumuzane,"Ngena manje, mnumzana.","['1111111111111111111', '1111111111111111111']","['[]', '[]']"
ngena manje mnumzane,"Ngena manje, mnumzana.",['1111111111111111111'],['[]']
ngena manje mnumzane,"Ngena manje, mnumzana.",['1111111111111111111'],['[]']
gena manje unomzama,"Ngena manje, mnumzana.","['1111111111111111101', '1111111111111111101']","['[""11""]', '[""11""]']"
musani ukungihlubha ngiyagulanamuhla,"Ngena manje, mnumzana.",['1111111111111111111'],['[]']
ngena manje umnumnzana,"Ngena manje, mnumzana.",['1111111111111111111'],['[]']
ngena manje nonzane,"Ngena manje, mnumzana.",['1111111111101001110'],"['[""0""]']"
musaniukungihlupha ngiyakula namuhla,"Musani ukungihlupha, ngiyagula namuhla.",['11111111011101111111111111111101'],['[]']
musaniukungihlupha ungiyagula namuhla,"Musani ukungihlupha, ngiyagula namuhla.",['11111111111111111111111111111111'],"['[""16""]']"
musani ukugihlupha ingiyagulanamuhle,"Musani ukungihlupha, ngiyagula namuhla.","['11111111010111111111111111111110', '11111111011101111111111111111111']","['[""17""]', '[""17""]']"
musani ukungihlupha ngiyagula namuhla,"Musani ukungihlupha, ngiyagula namuhla.","['11111111111111111111111111111111', '11111111111111111111111111111111']","['[]', '[]']"
musani ukungihlupha ngiyagulanamuhla,"Musani ukungihlupha, ngiyagula namuhla.","['11111111111111111111111111111111', '11111111111111111111111111111111']","['[]', '[]']"
musakungihlupha ngiyagula namuhla,"Musani ukungihlupha, ngiyagula namuhla.","['11110011111111111111111111111111', '11111111111111111111111111111111', '11110011111111111111111111111111']","['[]', '[]', '[]']"
musaniukungihlupha ngiyagula namuhla,"Musani ukungihlupha, ngiyagula namuhla.",['11111111111111111111111111111111'],['[]']
musani ukungishlupha ingiyakulanamuhla,"Musani ukungihlupha, ngiyagula namuhla.",['11111111111101111111111111111101'],"['[""17""]']"
niyafundisa namhlanje mpela,"Musani ukungihlupha, ngiyagula namuhla.",['11111111111111111111111111111111'],['[]']
musani ukungihlupha niyagula namuhla,"Musani ukungihlupha, ngiyagula namuhla.",['11111111111111111111111111111111'],"['[""10""]']"
umsane kukungilupangiyaluwa nomluhla,"Musani ukungihlupha, ngiyagula namuhla.",['11111111111111111111101111111111'],"['[""21""]']"
niyafundisa namshlanje impela,Niyafundisa namhlanje impela.,['111111111111111011111110111'],['[]']
niyafundisa namhlanje mphela,Niyafundisa namhlanje impela.,['111111111111111111111111111'],['[]']
ngiyafundisa namhlanje imphela,Niyafundisa namhlanje impela.,['111111111111111111111111111'],['[]']
niyafundisa namhlanje empela,Niyafundisa namhlanje impela.,['111111111111111111111111111'],['[]']
niyafundisa namhlanje impela,Niyafundisa namhlanje impela.,"['111111111111111111111111111', '111111111111111111111111111']","['[""12""]', '[]']"
niyafundisa namhlanje impela,Niyafundisa namhlanje impela.,['111111111111111111111111111'],['[]']
niyafundisa namhlanje impela,Niyafundisa namhlanje impela.,['111111111111111111111111111'],['[]']
niyafundisa namashle imphela,Niyafundisa namhlanje impela.,"['111111111111111110011110111', '111111111111111000001110111']","['[]', '[]']"
isa lukhazi simnyama,Niyafundisa namhlanje impela.,['111111111111111111111111111'],['[]']
niyafundisa namhlanje imphela,Niyafundisa namhlanje impela.,['111111111111111111111110111'],['[]']
engiyafundisa namantshe emphelwa,Niyafundisa namhlanje impela.,['011111111111111011111110111'],"['[""0"", ""26""]']"
isalu khazi simnyama,Isalukazi simnyama.,['11111011111111111'],['[]']
isalukhazi sinyama,Isalukazi simnyama.,"['11111011111111111', '11111011111111111']","['[]', '[]']"
isalukhazi semnyama,Isalukazi simnyama.,"['11111111111111111', '11111011111111111']","['[]', '[]']"
isalu kazi simnyama,Isalukazi simnyama.,"['11111111111111111', '11111111111111111']","['[]', '[]']"
isalukazi semnyama,Isalukazi simnyama.,['11111111111111111'],['[]']
isalukazi simnyama,Isalukazi simnyama.,['11111111111111111'],['[]']
isalu kazi a imnyama,Isalukazi simnyama.,['11111111111111111'],['[]']
isalukhazi sine mnyama,Isalukazi simnyama.,"['11111011111111111', '11111011111111111']","['[]', '[""13""]']"
umfazi uzosebenza laphona,Isalukazi simnyama.,['11111111111111111'],['[]']
isalukhazi aimnyama,Isalukazi simnyama.,['11111111111111111'],['[]']
isalukhazi isib yama,Isalukazi simnyama.,['11111011111111111'],"['[""10""]']"
umfazi uzosebenza laphona,Umfazi uzosebenza lapho na?,"['1111111111111111111111111', '1111111111110111111111111']","['[]', '[]']"
umfazi uzosebenza lakona,Umfazi uzosebenza lapho na?,['1111111111111111111111111'],['[]']
umfasi usosebensze laphona,Umfazi uzosebenza lapho na?,['1111111111000111111111111'],['[]']
omfazi uzosebenza laphona,Umfazi uzosebenza lapho na?,"['1111111111111111111111111', '1111111111111111111111111']","['[]', '[]']"
